FID,SHAPE,NAME,BEZEICHNUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
UNIVERSITAETOGD.1545933,POINT (16.409839010138533 48.21220475172164),Wirtschaftsuniversität Wien,D2 SC,1545933,
UNIVERSITAETOGD.1545934,POINT (16.40641305840182 48.21396293277605),Wirtschaftsuniversität Wien,D3,1545934,
UNIVERSITAETOGD.1545935,POINT (16.407354829589078 48.214569211541416),Wirtschaftsuniversität Wien,D4,1545935,
UNIVERSITAETOGD.1545936,POINT (16.40626443464473 48.2146197497305),Wirtschaftsuniversität Wien,AD,1545936,
UNIVERSITAETOGD.1545937,POINT (16.406223135786885 48.21566196605036),Wirtschaftsuniversität Wien,EA,1545937,
UNIVERSITAETOGD.1546293,POINT (16.405057852623703 48.215267214867794),Sigmund Freud Privat Universität Wien Paris,Gebäude,1546293,
UNIVERSITAETOGD.1546263,POINT (16.37222911791936 48.20486789337447),MUK Musik und Kunst Privatuniversität der Stadt Wien,Hauptstandort,1546263,
UNIVERSITAETOGD.1546264,POINT (16.36892021832221 48.207793352232336),MUK Musik und Kunst Privatuniversität der Stadt Wien,Gebäude,1546264,
UNIVERSITAETOGD.1546265,POINT (16.374890464529464 48.20661507466812),Konservatorium Wien Privatuniversität,Gebäude,1546265,
UNIVERSITAETOGD.1546266,POINT (16.423918403848166 48.223429445296574),Webster University Vienna,Gebäude,1546266,
UNIVERSITAETOGD.1546267,POINT (16.336311862906445 48.27473754094359),Vienna MODUL University Vienna,Gebäude,1546267,
UNIVERSITAETOGD.1546278,POINT (16.379435640888776 48.22814835104851),Religionspädagogische Akademie,Rabbiner-Schneerson-Platz 1,1546278,
UNIVERSITAETOGD.1545922,POINT (16.335922043292072 48.19878133969107),Pädagogische Akademie,Pelzgasse 9,1545922,
UNIVERSITAETOGD.1545923,POINT (16.378428617289224 48.21545929381975),Religionspädagogische Akademie,Lilienbrunngasse 19,1545923,
UNIVERSITAETOGD.1545924,POINT (16.404303902211193 48.25701787424551),Akademie für Sozialarbeit der Stadt Wien,Gebäude,1545924,
UNIVERSITAETOGD.1545925,POINT (16.38007309851057 48.29413341666348),Kirchlich Pädagogische Hochschule in Wien-Strebersdorf,Mayerweckstraße 1,1545925,
UNIVERSITAETOGD.1545926,POINT (16.331424019483784 48.231370143001044),Kirchlich Pädagogische Hochschule in Wien-Gersthof,Severin-Schreiber-Gasse 1,1545926,
UNIVERSITAETOGD.1545927,POINT (16.372900547103416 48.20800765788998),Religionspädagogische Akademie,Stephansplatz 3,1545927,
UNIVERSITAETOGD.1545928,POINT (16.374147230618906 48.164824008924164),Pädagogische Hochschule Wien,Gebäude,1545928,
UNIVERSITAETOGD.1545929,POINT (16.377203107870834 48.208851826766015),Österreichische Akademie der Wissenschaften,Gebäude,1545929,
UNIVERSITAETOGD.1545930,POINT (16.374117226157473 48.16678670437826),Pädagogische Akademie des Bundes in Wien,Ettenreichgasse 45a,1545930,
