FID,OBJECTID,SHAPE,ADRESSE,AUSNAHME_TXT,STELLPL_ANZ,WEITERE_INF,SE_ANNO_CAD_DATA
PARKENANRAINEROGD.350736,350736,"LINESTRING (16.352396433513498 48.21335106930578, 16.352565542629417 48.213359372813976)","8, Laudongasse 5",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350737,350737,"LINESTRING (16.35153684709859 48.21341347048922, 16.351416690819804 48.21340813230253)","8, Laudongasse 12",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350738,350738,"LINESTRING (16.350974274128973 48.213794136904056, 16.350990207599363 48.21349373040685)","8, Lange Gasse 59 bis 61",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350739,350739,"LINESTRING (16.3509184928413 48.214798865297205, 16.350928440335203 48.214619125454156)","8, Lange Gasse 69",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350740,350740,"LINESTRING (16.3528936382414 48.20747026803841, 16.353352904946195 48.20753979355045)","8, Trautsongasse 3 bis 5",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350741,350741,"LINESTRING (16.353157985577454 48.20832256190589, 16.352809555549086 48.20827201086371)","8, Josefsgasse 7 bis 11",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350742,350742,"LINESTRING (16.352603338992648 48.20831027073235, 16.352952093331147 48.20835980612251)","8, Josefsgasse 12",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350743,350743,"LINESTRING (16.351634707840095 48.20755030724114, 16.35174967458515 48.20720007250477)","8, Neudeggergasse 13 bis 17",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350744,350744,"LINESTRING (16.35151219005086 48.20820247979076, 16.35117204452487 48.20817216181552)","8, Zeltgasse 2 bis 4",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350745,350745,"LINESTRING (16.350791250939206 48.20872384597774, 16.350859129626706 48.208457893290046)","8, Piaristengasse 34",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350746,350746,"LINESTRING (16.351158552961206 48.20677046098101, 16.35113828272495 48.20685025674962)","8, Piaristengasse 3 bis 5-7",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350747,350747,"LINESTRING (16.350863508067686 48.206611478601026, 16.35102317497801 48.206624462056965)","8, Roter Hof 1 bis 1A",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350748,350748,"LINESTRING (16.343976924490143 48.209814429825926, 16.343971272196658 48.20975159040821)","8, Albertgasse 18-22",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,2,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350749,350749,"LINESTRING (16.343936795921213 48.20936756847131, 16.34392480820057 48.209238490247635)","8, Albertgasse 16 bis 18-22",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350750,350750,"LINESTRING (16.343992566988465 48.20900697089557, 16.344236699765446 48.208971438598205)","8, Pfeilgasse 20 bis 22",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350751,350751,"LINESTRING (16.34480306361039 48.20937806378077, 16.34478282739402 48.209732009704595)","8, Tigergasse 23-27",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350752,350752,"LINESTRING (16.345599593615905 48.20959267759342, 16.345553748851227 48.209859370613394)","8, Lerchengasse 28-30 bis 34",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350753,350753,"LINESTRING (16.36972990472572 48.20533392504179, 16.368909879868117 48.20572862799704)","1, Gluckgasse 2-4/Lobkowitzplatz 3 ",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,14,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350754,350754,"LINESTRING (16.371603754624054 48.211018976733776, 16.37134389191424 48.210836658390384)","1, Tuchlauben 21 bis 25",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350755,350755,"LINESTRING (16.37846265617732 48.21373775975152, 16.37781635331987 48.21357698378093)","2, Gredlerstraße 1 bis 5",ausg. Fahrzeuge mit Parkkleber für den 2. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350756,350756,"LINESTRING (16.37860645436037 48.21478009906105, 16.379828668493598 48.21447473134419)","2, Negerlegasse 4 bis 10",ausg. Fahrzeuge mit Parkkleber für den 2. Bezirk,17,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350757,350757,"LINESTRING (16.379665096351708 48.216396838769256, 16.380220994007512 48.21632893500141)","2, Karmelitergasse 10",ausg. Fahrzeuge mit Parkkleber für den 2. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350758,350758,"LINESTRING (16.378355779618804 48.217175766126516, 16.379541293071515 48.21721120652123)","2, Tandelmarktgasse 3 bis 11",ausg. Fahrzeuge mit Parkkleber für den 2. Bezirk,25,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350759,350759,"LINESTRING (16.36462650403665 48.197680905761686, 16.364279470406654 48.197490359393534)","4, Mühlgasse 9",ausg. Fahrzeuge mit Parkkleber für den 4. und 5. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350760,350760,"LINESTRING (16.362498498706127 48.1961715688747, 16.362722329683322 48.19595638305201)","4, Preßgasse 23 bis 25",ausg. Fahrzeuge mit Parkkleber für den 4. und 5. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350773,350773,"LINESTRING (16.38109625292057 48.20911961854203, 16.380884787873303 48.20880293680872)","1, Biberstraße 10 bis 12",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,12,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350774,350774,"LINESTRING (16.37271062950083 48.19815688258146, 16.372816673217223 48.198042115810196)","4, Hoyosgasse 5",ausg. Fahrzeuge mit Parkkleber für den 4. und 5. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
