FID,OBJECTID,SHAPE,LBEZEICHNUNG,LTYP,LTYPTXT,SE_ANNO_CAD_DATA
OEFFLINIENOGD.248,248,"LINESTRING (16.25516228963879 48.199740614816974, 16.256859002900892 48.198873453934546, 16.257321956163477 48.19870245157867, 16.258596776526062 48.19827501579442, 16.259095202260117 48.19817541365263, 16.260049333154406 48.19798093294646, 16.260262865937484 48.19799059141184, 16.260383797528025 48.19804301955528, 16.260526078312097 48.19810021989732)","43B, 49A, 50A, 50B, 52A, 52B",2,Autobus,
OEFFLINIENOGD.249,249,"LINESTRING (16.260526078312097 48.19810021989732, 16.260637530112568 48.198161492646115, 16.260831790976006 48.19820730533857, 16.261015440897157 48.19820742535252, 16.261233324034396 48.19816330915207, 16.262209503858863 48.197907627977756)","43B, 47B, 49A, 50A, 50B, 52A, 52B",2,Autobus,
OEFFLINIENOGD.250,250,"LINESTRING (16.26118021347344 48.19797339407451, 16.260930279052456 48.19803176593236, 16.260710265615327 48.198073023924934, 16.260526078312097 48.19810021989732)","43B, 47B, 49A, 50A, 50B, 52A, 52B",2,Autobus,
OEFFLINIENOGD.251,251,"LINESTRING (16.37040909051871 48.200381096548284, 16.370156389844844 48.2003930688803, 16.369953506378202 48.200383611394656, 16.369747051234075 48.20035749831176, 16.369519233011076 48.20031949308921, 16.369334133671565 48.20029099344766, 16.369184646741964 48.20029579582277, 16.369049411268243 48.200319628898804, 16.368967592997503 48.20039103579454, 16.368942720598803 48.20045766805693, 16.36896768598265 48.2005361822454, 16.369028236120155 48.20060279003537, 16.369135040236507 48.20064083021729, 16.369259617814212 48.20064555349604, 16.369515854849805 48.20059788993784)",4A,2,Autobus,
OEFFLINIENOGD.252,252,"LINESTRING (16.369515854849805 48.20059788993784, 16.370038991577136 48.200478763774996, 16.37040909051871 48.200381096548284)",4A,2,Autobus,
OEFFLINIENOGD.253,253,"LINESTRING (16.37040909051871 48.200381096548284, 16.37149802808853 48.200092852593365, 16.37271505174382 48.19975934696623, 16.372836040456427 48.199723617043425, 16.372928575350592 48.19971644860408, 16.373099421039704 48.19972115287211, 16.373312999763456 48.19975677512252)",4A,2,Autobus,
OEFFLINIENOGD.345,345,"LINESTRING (16.297969950269437 48.237777924591896, 16.29791976776479 48.2378427951995, 16.29790091419894 48.237915003786085, 16.297861715251592 48.23795999329922, 16.297797468592922 48.237977763953175, 16.297726974786833 48.23796936787487, 16.29767059872112 48.237935858652484, 16.297659661414837 48.23789713147959, 16.297676925623858 48.23785527331929, 16.297719251383654 48.23782179701754)",42A,2,Autobus,
OEFFLINIENOGD.346,346,"LINESTRING (16.297719251383654 48.23782179701754, 16.297969950269437 48.237777924591896)",42A,2,Autobus,
OEFFLINIENOGD.347,347,"LINESTRING (16.327465033588666 48.22780656948694, 16.328194033766497 48.22845170265738, 16.32844327810213 48.22871940667673, 16.328603486436755 48.22904659046383, 16.328750339766003 48.22938864422441, 16.328638850224607 48.230765738153146, 16.328567451624465 48.23194653110741)",10A,2,Autobus,
OEFFLINIENOGD.348,348,"LINESTRING (16.297969950269437 48.237777924591896, 16.298336576535576 48.23773932190491, 16.29881755206823 48.23772482614769, 16.299096468031426 48.23765584168427, 16.30018928146339 48.23718230183621, 16.300372807371836 48.2370503001812, 16.300978754980978 48.236405659212075, 16.301085745525274 48.23620343892799, 16.301250114294596 48.23542541273229, 16.301268009608282 48.23529692873498, 16.301310834345045 48.235172020742624, 16.301398153269417 48.235086387479704, 16.30167608970456 48.234899685284915, 16.30200743305599 48.23473560248372, 16.30224078711942 48.234634545323956, 16.303799428811327 48.23396280109357, 16.304596593421472 48.23354186162099, 16.305362628575967 48.23304238649968, 16.306275564237854 48.23253699540554, 16.306983624729174 48.23216241447874, 16.307678278518615 48.2318592098099, 16.308297204975087 48.23163033975957, 16.30905411488237 48.231431241863675, 16.31110215524629 48.23097068819542, 16.31195697041807 48.23079538642476, 16.312642577438417 48.230703324961446, 16.313016554545197 48.23062904339274, 16.313675489764556 48.230438817468865, 16.31433442513373 48.23023669163369, 16.314922117644645 48.23006429196743, 16.315336153129703 48.229984061236244, 16.315745716246425 48.229957365303335, 16.31629772054598 48.22995746145992, 16.316965460270286 48.22997839426054, 16.31727708676093 48.22994870254246, 16.31766886009708 48.22986845977284, 16.318220908906365 48.22973767758375, 16.318710619437937 48.229645549377466, 16.319191410766905 48.22959505783006, 16.319761234375033 48.22954160198775, 16.32046016651339 48.2294465217449, 16.32107896303413 48.22936332297602, 16.325085525409 48.228777838242685, 16.326385457157873 48.22834965542772, 16.327465033588666 48.22780656948694)",42A,2,Autobus,
OEFFLINIENOGD.349,349,"LINESTRING (16.322870891305087 48.224084344111624, 16.324281574064297 48.22659837852155, 16.324530828388973 48.22669655588323, 16.324762292169076 48.22673227084704, 16.325185167260923 48.226753131623695, 16.325697060575244 48.226821587936215, 16.326182230302717 48.226982242824214, 16.326649575123106 48.22725889141497, 16.32738397772997 48.22773483766766, 16.327465033588666 48.22780656948694)","10A, 42A",2,Autobus,
OEFFLINIENOGD.350,350,"LINESTRING (16.321351974472737 48.22147623786185, 16.321385184188493 48.221547678339974, 16.321901269933807 48.22235080482195, 16.322617543549356 48.223632816265535, 16.322870891305087 48.224084344111624)","10A, 42A",2,Autobus,
OEFFLINIENOGD.351,351,"LINESTRING (16.316474233583783 48.22313454106368, 16.319743433844792 48.22205002532713, 16.321351974472737 48.22147623786185)",42A,2,Autobus,
OEFFLINIENOGD.352,352,"LINESTRING (16.29078611301409 48.234249903732085, 16.290704930456343 48.23420810132275, 16.290606630906357 48.23422242185533, 16.290517708395875 48.23425036882094, 16.2904552704657 48.23429374585493, 16.290452661454985 48.23434399846711)",43A,2,Autobus,
OEFFLINIENOGD.353,353,"LINESTRING (16.290452661454985 48.23434399846711, 16.290487671235585 48.23438512896532, 16.290554313827375 48.23441999026772, 16.290680789740694 48.234457159412635)",43A,2,Autobus,
OEFFLINIENOGD.354,354,"LINESTRING (16.3223312695106 48.26354461835888, 16.32243819966291 48.26346610969576, 16.322497024288165 48.263376888099494, 16.322529113243746 48.263312647935834)",38A,2,Autobus,
OEFFLINIENOGD.355,355,"LINESTRING (16.280840222414163 48.226656574170924, 16.280300127081805 48.226872366756396, 16.2801049028835 48.22694175209473, 16.279935346206706 48.226985450810524, 16.279734462396902 48.22701961648746, 16.279640404235128 48.227060497297074, 16.279611836435215 48.227131866390295, 16.279627411627125 48.22721753376866, 16.27968432951511 48.22727181285027, 16.27980394987625 48.227302328523834, 16.280216956266372 48.22738152743099, 16.280316631307656 48.22741488820766, 16.280426228017923 48.227494890362095, 16.280769191593787 48.227802479312196, 16.280994042970296 48.22800245988771, 16.28143373719392 48.228441438902486, 16.28180364455393 48.22887657559925, 16.28199925208875 48.22912413029353, 16.282155612824596 48.229443048438476, 16.282187496319754 48.229602485745524, 16.28225831848727 48.22998798842509, 16.282297143821385 48.23032112789522, 16.282254220758457 48.230499565947525, 16.28214363633916 48.230673214004234, 16.281979628770046 48.23084921552484, 16.281851254731503 48.231003818239984, 16.28180834966346 48.23116322033045, 16.28179394858759 48.23131073882776, 16.281850842647145 48.23139404664607, 16.28196833221443 48.23142979304845, 16.282046694182775 48.23142031243895, 16.282114397378475 48.23138465223896, 16.28228193925203 48.23123720541962, 16.282388875737276 48.23114683653321, 16.282517145415007 48.23108978987618, 16.28276292633537 48.23104707420909, 16.282973073788035 48.23102337735588, 16.283133367265986 48.23099251842898)",44A,2,Autobus,
OEFFLINIENOGD.356,356,"LINESTRING (16.28848808963964 48.25089156968391, 16.28717435777508 48.25084937889432, 16.282476135295376 48.25067775143497, 16.280663638798803 48.250626329836265, 16.28027169119082 48.25066778028368, 16.279906413729062 48.25075385724307, 16.2795588811656 48.25090240161175, 16.278222093706074 48.251565003272816, 16.27782109901779 48.25172243843452, 16.277495892237607 48.25180852800617, 16.277108375932826 48.25185889288338, 16.276778823933782 48.25184980052631, 16.276435949305714 48.25180798338703, 16.276133194379838 48.25173346830545, 16.27580377612561 48.25161135052038, 16.275581251920016 48.25148333910781, 16.27536767590768 48.251319641028104, 16.275109680820623 48.25106074132985, 16.27474940800684 48.250676866854036, 16.27455364211196 48.25052209879757, 16.274375590662522 48.2504506206156, 16.274152948082744 48.25042670701135, 16.273943601284117 48.25045633705009, 16.2738188359729 48.25051278050964, 16.273636093682807 48.2506376020773, 16.27357356461341 48.25078628270253, 16.273487722297638 48.251791545242995, 16.273433456298523 48.25246667965026, 16.2734820826511 48.252764135183625, 16.27356198284622 48.252981301928074, 16.27372200349522 48.25323717702894, 16.273966631852005 48.25350499548635, 16.274238037744034 48.25372821390638, 16.27457628692737 48.25392172363154, 16.274927958094484 48.25406765157144, 16.27532420401108 48.25418385818256, 16.275831829982074 48.25427037980832, 16.27793373862699 48.25450345555286, 16.278877830717136 48.25460208046455)",43A,2,Autobus,
OEFFLINIENOGD.357,357,"LINESTRING (16.378639735319375 48.18873126144919, 16.37658899620149 48.188508928140955, 16.3747429005304 48.18830731062616, 16.373052513657605 48.18812345957235)",13A,2,Autobus,
OEFFLINIENOGD.358,358,"LINESTRING (16.37913095614397 48.17786698893793, 16.3787557653473 48.17521752462511)",14A,2,Autobus,
OEFFLINIENOGD.359,359,"LINESTRING (16.380055440455777 48.17513009962761, 16.38045895845729 48.1777833295553, 16.37913095614397 48.17786698893793)",14A,2,Autobus,
