FID,OBJECTID,SHAPE,GARAGE_ID,BETREIBER,BEZEICHNUNG,PLZ,ORT,ADRESSE,WEBLINK_BETR_DE,WEBLINK_BETR_EN,WEBLINK_WK_DE,WEBLINK_WK_EN,LONGITUDE,LATITUDE,PARK_AND_RIDE,BEHINDERTENPARKPL,SE_ANNO_CAD_DATA
GARAGENOGD.376732,376732,POINT (16.335207377046697 48.21484004225881),3345,APCOA Parking Austria GmbH,Ottakringer Strasse,1170,Wien,Ottakringer Straße 44,http://www.apcoa.at/parken-in/wien/ottakringer-strasse.html,http://www.apcoa.at/en/parking-in/wien/ottakringer-strasse.html,http://www.parken.at/garage/3345/,http://www.parken.at/en/garage/3345/,16.335216,48.214846,N,N,
GARAGENOGD.376733,376733,POINT (16.295527072064957 48.169278269172075),3338,APCOA Parking Austria GmbH,Hietzingerbad,1130,Wien,Atzgersdorferstraße 14,http://www.apcoa.at/parken-in/wien/hietzingerbad.html,http://www.apcoa.at/en/parking-in/wien/hietzingerbad.html,http://www.parken.at/garage/3338/,http://www.parken.at/en/garage/3338/,16.2955355644,48.1692839845,N,N,
GARAGENOGD.376734,376734,POINT (16.285334696260094 48.14741396065204),3366,APCOA Parking Austria GmbH,Höpflerbad,1230,Wien,Endresstraße 24-26,http://www.apcoa.at/parken-in/wien/hoepflerbad.html,http://www.apcoa.at/en/parking-in/wien/hoepflerbad.html,http://www.parken.at/garage/3366/,http://www.parken.at/en/garage/3366/,16.2853431702,48.1474195653,N,N,
GARAGENOGD.376735,376735,POINT (16.297597823107253 48.23822394276291),3346,APCOA Parking Austria GmbH,Schafbergbad,1180,Wien,Josef-Redl-Gasse 2,http://www.apcoa.at/parken-in/wien/schafbergbad.html,http://www.apcoa.at/en/parking-in/wien/schafbergbad.html,http://www.parken.at/garage/3346/,http://www.parken.at/en/garage/3346/,16.2976062298,48.2382299889,N,N,
GARAGENOGD.376736,376736,POINT (16.36536081574801 48.23556561460096),3355,APCOA Parking Austria GmbH,Brigittenauerbad,1200,Wien,Klosterneuburgerstraße 93-97,http://www.apcoa.at/parken-in/wien/brigittenauerbad.html,http://www.apcoa.at/en/parking-in/wien/brigittenauerbad.html,http://www.parken.at/garage/3355/,http://www.parken.at/en/garage/3355/,16.3653695583,48.23557169,N,N,
GARAGENOGD.376737,376737,POINT (16.449710565558256 48.27378300285086),3359,APCOA Parking Austria GmbH,Grossfeldsiedlungsbad,1210,Wien,Oswald Redlich Straße 44,http://www.apcoa.at/parken-in/wien/grossfeldsiedlungsbad.html,http://www.apcoa.at/en/parking-in/wien/grossfeldsiedlungsbad.html,http://www.parken.at/garage/3359/,http://www.parken.at/en/garage/3359/,16.4497196674,48.2737893126,N,N,
GARAGENOGD.376738,376738,POINT (16.401527571004838 48.25412783459017),3360,APCOA Parking Austria GmbH,Hallenbad Floridsdorf,1210,Wien,Franklinstraße 22,http://www.apcoa.at/parken-in/wien/hallenbad-floridsdorf.html,http://www.apcoa.at/en/parking-in/wien/hallenbad-floridsdorf.html,http://www.parken.at/garage/3360/,http://www.parken.at/en/garage/3360/,16.4015364647,48.2541340211,N,N,
GARAGENOGD.376739,376739,POINT (16.42856407047527 48.22795439560262),3363,APCOA Parking Austria GmbH,Gänsehäufel,1220,Wien,Moissigasse 21,http://www.apcoa.at/parken-in/wien/gaensehaeufel.html,http://www.apcoa.at/en/parking-in/wien/gaensehaeufel.html,http://www.parken.at/garage/3363/,http://www.parken.at/en/garage/3363/,16.4285731316,48.2279604735,N,N,
GARAGENOGD.376740,376740,POINT (16.37598747626025 48.21427631980842),3006,APCOA Parking Austria GmbH,Diana-Bad,1020,Wien,"Lilienbrunng. 7-9, Einfahrt Hollandstr. 2",http://www.apcoa.at/parken-in/wien/diana-bad.html,http://www.apcoa.at/en/parking-in/wien/diana-bad.html,http://www.parken.at/garage/3006/,http://www.parken.at/en/garage/3006/,16.3759963,48.2142823,N,N,
GARAGENOGD.376741,376741,POINT (16.327531052770535 48.18314348139457),3337,APCOA Parking Austria GmbH,U4-Center,1120,Wien,Schönbrunner Straße 222-228,http://www.apcoa.at/parken-in/wien/u4-center.html,http://www.apcoa.at/en/parking-in/wien/u4-center.html,http://www.parken.at/garage/3337/,http://www.parken.at/en/garage/3337/,16.3275396824,48.1831492832,N,N,
